OBJECTID,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen,POLYID,Name
29,17020,6929,17020,4619,12401,12296,251,11984,16,20,1,24,105,12372,2807,9565,9491,208,9229,14,20,1,19,74,6929,5877,1052,191428368.178529,58565.130928,48,TRINITY / HOUSTON GARDENS
30,3143,887,3143,2113,1030,1016,153,800,2,56,0,5,14,2081,1304,777,767,125,599,2,39,0,2,10,887,797,90,84019517.716996,56176.319992,3,CARVERDALE
31,27897,8692,27897,20402,7495,7396,1373,5841,44,100,1,37,99,18658,13044,5614,5552,1190,4235,34,76,1,16,62,8692,7695,997,214291256.884702,71061.564297,46,EASTEX - JENSEN AREA
32,19958,6799,19958,6860,13098,12994,668,12242,38,23,3,20,104,13650,4205,9445,9392,590,8734,28,19,3,18,53,6799,6070,729,297658041.803746,81176.059105,49,EAST HOUSTON
33,24465,9288,24465,4782,19683,19525,595,18783,40,83,2,22,158,17494,2910,14584,14488,471,13891,35,71,2,18,96,9288,8434,854,249767480.460978,87815.579415,6,ACRES HOME
34,58830,18327,58830,48613,10217,10054,5082,4678,47,181,8,58,163,39638,31620,8018,7922,4530,3145,39,167,7,34,96,18327,16813,1514,282248882.781292,102420.982348,45,NORTHSIDE/NORTHLINE
35,4362,1268,4362,2971,1391,1358,604,591,5,157,0,1,33,3046,1891,1155,1128,547,454,4,122,0,1,27,1268,1219,49,24539913.50379,28102.300431,7,HIDDEN VALLEY
36,20160,7650,20160,4125,16035,15941,332,15525,35,30,1,18,94,15230,2525,12705,12637,287,12289,23,27,1,10,68,7650,6955,695,192511062.176194,83347.429885,47,EAST LITTLE YORK / HOMESTEAD
37,7020,4283,7020,1940,5080,4949,2128,2033,19,757,6,6,131,5468,1402,4066,3991,1964,1393,15,609,5,5,75,4283,3630,653,84188649.019975,52713.973865,1,WILLOWBROOK
38,42793,18633,42793,27769,15024,14674,1887,12306,32,369,17,63,350,28667,17769,10898,10670,1631,8648,25,309,15,42,228,18633,15063,3570,193896630.061445,117958.271995,2,GREATER GREENSPOINT
39,10209,3641,10209,3813,6396,6287,1971,4099,19,148,33,17,109,6972,2439,4533,4474,1689,2607,16,132,19,11,59,3641,3272,369,746833913.152513,170943.47683,42,IAH / AIRPORT AREA
40,59484,24317,59484,7093,52391,51596,47441,2040,189,1745,63,118,795,44117,4556,39561,39152,36039,1510,147,1335,41,80,409,24317,22680,1637,835359444.188086,198374.308987,43,KINGWOOD AREA
41,14529,5253,14529,2586,11943,11692,9006,2079,44,514,9,40,251,10129,1575,8554,8425,6535,1429,33,394,8,26,129,5253,4915,338,980436690.564067,429584.142108,44,LAKE HOUSTON
42,13513,6479,13513,7488,6025,5899,2680,2765,20,381,11,42,126,9904,5020,4884,4803,2370,2061,15,322,6,29,81,6479,5502,977,192582975.907655,73300.98373,4,FAIRBANKS / NORTHWEST CROSSING
43,5029,1709,5029,2465,2564,2505,1036,250,3,1210,0,6,59,3816,1675,2141,2099,899,194,2,1002,0,2,42,1709,1625,84,38491012.311286,31832.840265,8,WESTBRANCH
44,75724,30285,75724,43244,32480,31627,9838,10280,105,11208,40,156,853,54754,28937,25817,25257,8619,7370,74,9065,35,94,560,30285,25636,4649,238001360.411595,72893.187132,26,SHARPSTOWN
